date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:39	112/112	---MCZ	200	added ('OK')	text/plain	etag:%2220056-1730414084;gz%22	https://winwithtrader.com/robots.txt		(from )
12:37:39	48096/48096	---M-Z	200	added ('OK')	text/html	etag:%2220023-1730410841;gz%22	https://winwithtrader.com/vsl/	C:/Meus%20Sites/Clone%20benatti/winwithtrader.com/vsl/index.html	(from )
12:37:39	60705/60705	---M-Z	200	added ('OK')	text/css	etag:%22ed21-6712755e-49f4f5010429aa52;gz%22	https://winwithtrader.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.24.7	C:/Meus%20Sites/Clone%20benatti/winwithtrader.com/wp-content/plugins/elementor/assets/css/frontend.min52dd.css	(from https://winwithtrader.com/vsl/)
12:37:40	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-6712755f-15bf45064918cbb4;gz%22	https://winwithtrader.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Meus%20Sites/Clone%20benatti/winwithtrader.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://winwithtrader.com/vsl/)
12:37:40	10260/10260	---M-Z	200	added ('OK')	text/css	etag:%222814-6712755e-9be3604c3141636d;gz%22	https://winwithtrader.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.24.7	C:/Meus%20Sites/Clone%20benatti/winwithtrader.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min52dd.css	(from https://winwithtrader.com/vsl/)
12:37:40	1107/1107	---M-Z	200	added ('OK')	text/css	etag:%22453-671bd879-74734cb7506081ce;gz%22	https://winwithtrader.com/wp-content/uploads/elementor/css/post-8.css?ver=1729878137	C:/Meus%20Sites/Clone%20benatti/winwithtrader.com/wp-content/uploads/elementor/css/post-80f8f.css	(from https://winwithtrader.com/vsl/)
12:37:41	10401/10401	---M-Z	200	added ('OK')	text/css	etag:%2228a1-671bd879-59b7c377414fbf1;gz%22	https://winwithtrader.com/wp-content/uploads/elementor/css/global.css?ver=1729878137	C:/Meus%20Sites/Clone%20benatti/winwithtrader.com/wp-content/uploads/elementor/css/global0f8f.css	(from https://winwithtrader.com/vsl/)
12:37:41	704/704	---M-Z	200	added ('OK')	text/css	etag:%222c0-6712755e-62b45648d04c2a2a;gz%22	https://winwithtrader.com/wp-content/plugins/elementor/assets/css/widget-text-editor.min.css?ver=3.24.7	C:/Meus%20Sites/Clone%20benatti/winwithtrader.com/wp-content/plugins/elementor/assets/css/widget-text-editor.min52dd.css	(from https://winwithtrader.com/vsl/)
12:37:41	747/747	---M-Z	200	added ('OK')	text/css	etag:%222eb-671fd500-c7f6168217872cde;gz%22	https://winwithtrader.com/wp-content/uploads/elementor/css/post-9.css?ver=1730139392	C:/Meus%20Sites/Clone%20benatti/winwithtrader.com/wp-content/uploads/elementor/css/post-9f6bc.css	(from https://winwithtrader.com/vsl/)
12:37:42	244295/244295	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2002%20Nov%202024%2015:37:41%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/Clone%20benatti/connect.facebook.net/en_US/fbevents.js	(from https://winwithtrader.com/vsl/)
12:37:43	11536/11536	---MCZ	200	added ('OK')	text/javascript	etag:W/%22ca561931b38391f22bec3d94cc30ceb3%22	https://cdn.utmify.com.br/scripts/utms/latest.js	C:/Meus%20Sites/Clone%20benatti/cdn.utmify.com.br/scripts/utms/latest.js	(from https://winwithtrader.com/vsl/)
12:37:43	1137/1137	---M--	200	added ('OK')	image/jpeg	etag:%22906cdd79b23e0c68597df93f8219e3b4%22	https://images.converteai.net/51b893ad-7da1-400a-a9ab-6436c3177c69/players/67110961a264a0000bfcf791/thumbnail.jpg	C:/Meus%20Sites/Clone%20benatti/images.converteai.net/51b893ad-7da1-400a-a9ab-6436c3177c69/players/67110961a264a0000bfcf791/thumbnail.jpg	(from https://winwithtrader.com/vsl/)
12:37:44	10498/10498	---M-Z	200	added ('OK')	text/javascript	etag:%226c3de78b845972fc09b7a97f37e2e2cb%22	https://scripts.converteai.net/51b893ad-7da1-400a-a9ab-6436c3177c69/players/67110961a264a0000bfcf791/player.js	C:/Meus%20Sites/Clone%20benatti/scripts.converteai.net/51b893ad-7da1-400a-a9ab-6436c3177c69/players/67110961a264a0000bfcf791/player.js	(from https://winwithtrader.com/vsl/)
12:37:44	5077/5077	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2002%20Nov%202024%2015:37:43%20GMT	https://analytics.tiktok.com/i18n/pixel/events.js	C:/Meus%20Sites/Clone%20benatti/analytics.tiktok.com/i18n/pixel/events.js	(from https://winwithtrader.com/vsl/)
12:37:44	4997/4997	---M-Z	200	added ('OK')	application/x-javascript	etag:%221385-6712755e-d814aa9c33825164;gz%22	https://winwithtrader.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.24.7	C:/Meus%20Sites/Clone%20benatti/winwithtrader.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min52dd.js	(from https://winwithtrader.com/vsl/)
